N,Total primes π(N),Sophie Germain,Safe primes,SG density (%),Elapsed time (s)
10000,1229,115,115,9.35720097640358,0.001536097999633057
100000,9592,670,670,6.984987489574646,0.01329443899976468
1000000,78498,4324,4324,5.5084205967031,0.12717904199962504
10000000,664579,30657,30657,4.61299559570796,1.3150695169997562
